callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
OAE271,,a52aa2,N432AX,,KSEA,RJTA,2020-03-31 15:33:13+00:00,2020-04-01 02:12:29+00:00,2020-04-01 00:00:00+00:00,47.43878173828125,-122.30804443359379,0.0,35.5093952760858,139.5450673204787,1775.46
IBE6650,IB6650,34230c,EC-JPU,A346,SPJC,LEMD,2020-03-31 15:36:52+00:00,2020-04-01 01:51:13+00:00,2020-04-01 00:00:00+00:00,-12.09567260742188,-77.12104008115574,609.6,40.42023739572299,-3.5104439475319396,937.26
MPH6912,MP6912,4841c3,PH-CKA,B744,SAEZ,KMIA,2020-03-31 15:37:17+00:00,2020-04-01 02:17:19+00:00,2020-04-01 00:00:00+00:00,-34.823867021980966,-58.52628707885742,0.0,25.7919880495233,-80.17143393462555,563.88
COPPER6,,ae04b0,57-1419,K35R,,KAVQ,2020-03-31 15:37:23+00:00,2020-04-01 16:20:22+00:00,2020-04-01 00:00:00+00:00,34.9735107421875,-77.12962870695151,2743.2,32.324617030256874,-111.0992431640625,1844.04
GEC8455,,3c70c2,D-ALFB,B77L,VHHH,EDDF,2020-03-31 15:38:42+00:00,2020-04-01 03:31:27+00:00,2020-04-01 00:00:00+00:00,22.30224609375,113.91672770182291,0.0,50.04031553106793,8.543633125923776,15.24
MAS2,MH2,75044a,,,WMKK,EGLL,2020-03-31 15:42:19+00:00,2020-04-01 04:53:29+00:00,2020-04-01 00:00:00+00:00,2.78103068723517,101.7001079690867,0.0,51.477511131157314,-0.48858642578125,-53.34
KLM876,KL876,484cbb,PH-BVG,B77W,VTBS,EHAM,2020-03-31 15:46:20+00:00,2020-04-01 03:11:05+00:00,2020-04-01 00:00:00+00:00,13.62753295898438,100.7441080027613,304.8,52.3113899230957,4.77630615234375,
BOX691,3S691,3c458b,,,,EDDF,2020-03-31 15:56:07+00:00,2020-04-01 03:25:49+00:00,2020-04-01 00:00:00+00:00,12.606392553297141,102.2100508840461,8229.6,50.04405212402344,8.568450526187293,15.24
CPA2086,,780a29,B-LJG,B748,VHHH,PANC,2020-03-31 15:57:38+00:00,2020-04-01 00:56:59+00:00,2020-04-01 00:00:00+00:00,22.30087280273438,113.91259210759941,0.0,61.1678466796875,-150.0123269217355,-76.2
UPS68,,a27abd,N259UP,MD11,PANC,VHHH,2020-03-31 15:59:04+00:00,2020-04-01 03:03:59+00:00,2020-04-01 00:00:00+00:00,61.19032287597656,-150.009286063058,-304.8,22.29867553710938,113.9056507457386,-30.48
